id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity
6BU1RZexmvJcBjgagVVt3M,Count Me Out,0.776,0.431,4,-7.544,0,0.091,0.671,0.0,0.153,0.495,133.999,audio_features,spotify:track:6BU1RZexmvJcBjgagVVt3M,https://api.spotify.com/v1/tracks/6BU1RZexmvJcBjgagVVt3M,https://api.spotify.com/v1/audio-analysis/6BU1RZexmvJcBjgagVVt3M,283642,4,75
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4,89
76kelNDs1ojicx1s6Urvck,NO SE VA - EN VIVO,0.57,0.71,0,-4.526,1,0.0304,0.0898,0.0,0.292,0.752,172.719,audio_features,spotify:track:76kelNDs1ojicx1s6Urvck,https://api.spotify.com/v1/tracks/76kelNDs1ojicx1s6Urvck,https://api.spotify.com/v1/audio-analysis/76kelNDs1ojicx1s6Urvck,193816,4,76
1wo3UYTeizJHkwYIuLuBPF,Champagne Supernova - Remastered,0.297,0.825,2,-3.771,1,0.0394,0.464,0.0833,0.354,0.123,150.339,audio_features,spotify:track:1wo3UYTeizJHkwYIuLuBPF,https://api.spotify.com/v1/tracks/1wo3UYTeizJHkwYIuLuBPF,https://api.spotify.com/v1/audio-analysis/1wo3UYTeizJHkwYIuLuBPF,451320,4,66
2CshODtf7iwe3pKlPmEWF5,TRES BOTELLAS,0.723,0.59,11,-7.688,0,0.0341,0.246,5.02e-05,0.201,0.587,97.481,audio_features,spotify:track:2CshODtf7iwe3pKlPmEWF5,https://api.spotify.com/v1/tracks/2CshODtf7iwe3pKlPmEWF5,https://api.spotify.com/v1/audio-analysis/2CshODtf7iwe3pKlPmEWF5,162648,4,80
04WxWo7XeVyx22xEsrWRUb,GOD'S COUNTRY,0.624,0.65,2,-5.819,1,0.0358,0.0229,1.21e-05,0.145,0.138,150.048,audio_features,spotify:track:04WxWo7XeVyx22xEsrWRUb,https://api.spotify.com/v1/tracks/04WxWo7XeVyx22xEsrWRUb,https://api.spotify.com/v1/audio-analysis/04WxWo7XeVyx22xEsrWRUb,127992,4,67
2a8yglXvNw07OWu4lO2ByG,LA CHERRY,0.743,0.544,2,-7.483,0,0.03,0.463,0.0,0.14,0.637,94.967,audio_features,spotify:track:2a8yglXvNw07OWu4lO2ByG,https://api.spotify.com/v1/tracks/2a8yglXvNw07OWu4lO2ByG,https://api.spotify.com/v1/audio-analysis/2a8yglXvNw07OWu4lO2ByG,212861,4,79
4QEks3yeZVdjNV1zTqxp1F,Ride,0.677,0.497,10,-8.064,0,0.303,0.365,3.63e-05,0.12,0.46,172.164,audio_features,spotify:track:4QEks3yeZVdjNV1zTqxp1F,https://api.spotify.com/v1/tracks/4QEks3yeZVdjNV1zTqxp1F,https://api.spotify.com/v1/audio-analysis/4QEks3yeZVdjNV1zTqxp1F,190605,4,65
6IRzBP4gVoV4D2zHmocoWy,Eternal Summer,0.617,0.78,7,-4.466,0,0.0376,0.0141,0.0112,0.0833,0.326,93.951,audio_features,spotify:track:6IRzBP4gVoV4D2zHmocoWy,https://api.spotify.com/v1/tracks/6IRzBP4gVoV4D2zHmocoWy,https://api.spotify.com/v1/audio-analysis/6IRzBP4gVoV4D2zHmocoWy,375320,4,56
6RrHjGQ46KMmnJ04I5bBw4,Reflejo,0.413,0.724,0,-4.869,1,0.0573,0.156,0.17,0.164,0.411,175.052,audio_features,spotify:track:6RrHjGQ46KMmnJ04I5bBw4,https://api.spotify.com/v1/tracks/6RrHjGQ46KMmnJ04I5bBw4,https://api.spotify.com/v1/audio-analysis/6RrHjGQ46KMmnJ04I5bBw4,253320,4,34
